Genes	N5CA1	N5CA2	N5CA3	N5CA4	V1	V2	V3	V4	N5FL1	N5FL2	N5FL3	N5FL4
Sh3kbp1	153913	185475	172428	163344	191680	204126	208331	208573	210396	249348	211357	274848
Sh3pxd2a	51948.9	58446.2	53343.5	54227.2	30432.2	49174.4	51534	47680.7	56842.8	58958.1	65827.8	68762.6
Sh3pxd2a;Sh3pxd2b	52493.8	54950.1	53082	47649.3	41717.3	40201.3	49590.8	48272.9	24817.5	28702.8	29092.8	31812.5
Sh3pxd2b	35330.2	35433.6	33368.4	30598.3	28773.6	32491.7	30807.9	30367.1	9708.4	10007	8917.71	13126.1
Sh3rf1	9753.6	10403.3	9675.82	8537.04	10176.1	7685.81		5943.49	14267	11654.2	8742.43	5811.35
Shc1	54983.5	56277.2	59279.9	60794.2	67817.7	68774.2	54037.2	63298	56210.2	61801	58639.1	58955.1
Shcbp1	54958.2	44202.2	50855	50270.7	47316.6	49260.2	41741.1	48456.2	31665.5	33820.9	35151.2	38603
Shmt1	88091.2	86423.4	90846.2	104002	106844	113851	99233.3	109079	96192.5	93355.7	93838.9	82480.7
Shmt2	1.93E+06	1.97E+06	2.09E+06	2.15E+06	1.92E+06	2.20E+06	2.12E+06	2.16E+06	2.10E+06	2.06E+06	2.12E+06	2.01E+06
Shoc2	23609.2	21834.9	28453.8	21474.1	19200.8	23324.7	19822.6	19700.8	17471	19364.4	20902.5	23578.9
Shprh	11623.3	11518.9	9967.49	12185.7	5738.1	6263.75	7652.54	7550.88	5652.69	4596.21	6152.69	8233.14
Shq1	33564.3	38501.8	32496.1	29580.6	33431.2	37597.3	38381.3	42297.3	27636.3	33024	27262.4	42362.1
Shroom1	6324.28		5689.31	4630.68		5851.05		3113.91	8399.55	10991.7	13861	8105.31
Shroom2	12871	17776.1	14214.7	13446.4	16655	17872.1	21825.8	20118.2	4964.58	7842.06	7081.51	10857.3
Siae	33949.7	29467.5	45121.7	48502.1	40835.4	36056.4	27659.9	21084.1	70873.6	66833.8	60471.8	52594.6
Sigmar1	14557.9	15469.4	20290.7	18609	15302.3	19556.8	16736.7	9331.3	28741.5	24823.2	34313.5	25044.3
Sik2	23992.3	26541.5	26971.5	21847.8	22430.4	27205.1	21899.2	29613.7	30246.4	25462.2	32732.1	30920.4
Sik3	62336.5	53197.6	55090.3	52394.7	49590	45897.5	42836.4	45695.1	42441.8	41168.7	42266.5	43919.3
Sike1	10360.4	12514	9803.17	8115.84	820.121	14349.1	8146.69	5921.79	2467.57	10794.9	4397.01	8929.37
Sil1	18030.6	18295.7	16118.4	20105	24198.9	23377.7	17537.2	19655.4	28944.2	29938.1	31133.5	24671.7
Sin3a	43492.9	40226.3	38108.9	35064.3	30550.3	32995.1	33176	31701.7	26890.6	34896.1	34763	35426.5
Sin3b	18798.3	20623.2	14304.5	14443.1	10421.3	11959.7	12539	13052	6359.13	8255.45	7817.37	10307.1
Sinhcaf	5207.01	6263.57	7753.39	8129.38	5671.53	5519.06	5979.31	6353.46	3555.61	6891.47	4176.04	3451.43
Sipa1	16486	14602	12597.8	16322.3	19372.6	14348.1	15998.5	15957.8	32638.4	34934.1	35553.7	36894.4
Sipa1l1	9418.6	9824.1	9296.03	7471.98	5506.12	6397.96	8492.66	9134.64	7184.67	10069.5	9358.58	12972
Sipa1l2	5729.69	8914.2	8420.75	6670.44	4444.18	3438.58	4680.25	3234.23	5760.91	5588.01	4533.79	8585.65
Sipa1l3	16988.4	16167.7	15980	20073.7	15977.2	10492	9274.79	12480.2	15408.6	14283.6	9646.47	10797.7
Sirpa	137337	137183	117494	116423	179671	180885	191887	179092	22861.7	25376	30838.2	35978.7
Sirt2	39126.3	40300.8	46219.3	54402.4	55261.6	61518.5	45731.8	56234.7	53867.4	61077.8	57511.8	51436
Sirt3		1995.5	1718.01	2756.39			3708.67	3416.07	2020.76	4107.84	4634.6	3421.18
Sirt5	41567.2	42543.9	40892.9	43528.3	61063.4	64597.5	61443.7	62832.2	59228.7	52449.3	54937	56164.7
Sirt6	6416.71	7779.68	6509.3	6192.52	1168.09	4017.93	5325.86	7268.93	3786.49	2367.26	3990.78	3868.29
Sirt7	16892	20156	17539.1	19330.4	11169.7	14246.4	16999.2	9915.31	3475.74	9229.99	12082.1	13913
Siva1	20652.9	21657.5	22073.6	20864.7	23386	30290.9	23569.3	34376.2	14475.3	15068.7	11567.4	13513.8
Six4	19593.5	19237.9	16786.8	18423.1	10777.6	15288	18631	18950.5	11161.3	16305.8	12421.5	20628.4
Ska1	18739.7	8385.32	7839.18	10403.6	10959.2	19768.1	10974.6	12220.8	14300.7	12043.2	16247.8	12513.5
Ska2	24118.4	24314.7	24723.7	27533.3	25277.4	33826.4	27156.6	32303.9	31108.7	31322.2	30329.3	32449.4
Ska3	13599.2	15129	13167.8	13060.8	11059.9	25282.8	15428.5	19401.8	17856.6	16040	12707.5	22392.4
Skap2	1513.05	2195.29	2458.02	1838.48	4827.83	2431.84	1082.93	1407.78	4072.66	3647.7	4554.83	2224.65
Skic2	80442	73361.8	64485.9	68472.7	86518.2	85030	87688	74611.8	72088.3	86497.7	81702.5	94170.3
Skic3	36854.3	33649	31749.3	31513.3	47655.8	42312.4	38085.4	39726.5	30910.9	37815.5	39913.2	43280.7
Skic8	134650	143390	149141	157738	152420	163529	148329	138388	142037	136892	135097	143226
Skint5		1075.14	2286	3539.6				751.401				2134.3
Skp1	167749	193552	218535	229301	243888	206035	124877	148136	328034	288295	278272	189947
Skp2	12308.6	13372.8	13702.6	13367.8	11764.5	14975	14332.3	15045.3	7125.52	9231.22	8801.15	6882.18
Skt	24545	26665.1	28134.1	26208.9	28543.7	28360.6	25802.8	26473.9	5106.71	9565.83	7038.5	7222.65
Slain2	40144.4	42572.4	38689.1	40348.1	30178.9	35060.2	36597.4	34997	31569.5	33607.8	31374.2	36075.5
Slbp	68533.5	69531.7	64935.3	66681.2	47837.2	55228.1	49521.5	62468.2	45078.7	46177.3	35840.6	51541.9
Slc12a4	21795.5	19517.2	17552.8	17533.3	23731.8	25835.5	22392.2	16646.7	23798.4	28945.5	30459.4	27562.4
Slc12a7	54800	51651.6	43692.8	37089.8	94324.6	93893.7	86101	82082.8	13110.6	13383.3	15410.3	17837.1
Slc12a9	59687.5	49670.4	40654.4	40376.3	58805.3	57436	52217.1	37418.6	36595.7	44312.3	46832.9	49400.5
Slc15a5	1.38E+06	1.56E+06	1.45E+06	1.29E+06	967389	1.60E+06	1.86E+06	2.01E+06	799410	942934	875742	1.30E+06
Slc16a1	31290.1	35515.1	30483.5	30506.6	57689.9	37665.7	29004.2	30937.9	36491.3	28429.3	28233.5	22275.9
Slc1a4	44984.6	27400.3	24621.9	22359.7	31582.8	38649.1	33730.7	20561.3	26982.3	19439.9	29215.2	31895
Slc1a5	158083	152394	125544	129359	237868	256673	231327	204311	85857.3	140009	130219	177666
Slc22a18	14203.4	6933.39	11526.4	10178.5	25794.5	24675.2	21241.4	17503.6	12318.8	7133.32	8529.63	14003.2
Slc23a2	11788.2	8920.31	8745.67	8332.2	3084.91	8482.98	5856.78	5855.57				4005.12
Slc24a5	13655.2	10003.8	8975.8	6864.77	24129.1	17707.1	19413.4	17321.2				
Slc25a1	65386	52725.7	49959.1	52296	150212	131784	125636	118815	77883.6	83009	97047.1	103400
Slc25a10	74533.8	59208	61211.8	60952.8	97085	92334.4	87374.9	75948.7	52306.3	56853.8	68442	67312.1
Slc25a11	101551	83190	97682.2	97974.8	138143	123060	101899	91593.6	146097	137737	157911	158040
Slc25a12	76066.1	65109	60701.9	57377.2	72648.5	72272.3	72339.8	66848.1	58079.7	62553.3	70671.3	79774.5
Slc25a12;Slc25a13	204870	181923	168024	183607	338414	250696	251187	228762	220292	181577	233078	234663
Slc25a13	105953	91203	86247.6	94628.5	149676	138233	142695	127009	74289.3	73374.6	82183.9	97383.1
Slc25a17	29110.2	25281.6	31201.2	31168.9	38124.1	26966.1	22292.7	21926.6	29315.5	28043.7	30208	35845.6
Slc25a18;Slc25a22	8162.92	10376.3	7460.7	15446.8	16135.4	8577.57	15429.5	17358.1	10078	11187	8365.55	12611.5
Slc25a20	33184.6	28440.4	35140	40889.8	57563.9	45639.3	45852.5	37527.2	54302.5	46928.8	59279.4	52937.6
Slc25a22	25887.2	22981	22623.7	28302.9	28884.3	27790.4	29023.2	29512.2	33962.4	28966.6	32036.3	32933.1
Slc25a24	42978.6	47209.5	51344	54941.8	73824	66199.5	71570.6	70493.2	65730.8	65687.3	66359.9	55374.8
Slc25a25	3518.06	6360.71	5285.35	5229.85	434.017	2059.11			8635.61	7519.95	9497.17	5936.33
Slc25a26	10198.6	8745.39	6508.76		4237.75	12082.8	15851.2	12844.1	7050.27	6502.47	9531.04	10724.8
Slc25a29	8933.49	8981.47	7072.72	7538.33	5031.22	6101.87	10371.5	4624.64	3610.12	4694.01	4003.08	8368.85
Slc25a3	287343	212897	241002	226581	341179	299579	272106	239246	206683	209988	259186	251403
Slc25a32	3837.96	4207.94	3472.11	3493.14	4353.75	3493.84	3452.61	1337.05	901.783	2962.88	3636.67	3691.38
Slc25a33;Slc25a36	12833.6	15214.1	10298.5	11557	11280	10247.1	10729.7	16611.5	7288.75	9207.44	13778.7	15388.1
Slc25a35	17465.7	17848.4	9965.83	17966	30912.7	37413	34815.9	35252.4	14306.4	12592.2	16393.4	18627.6
Slc25a4	1.71E+06	1.30E+06	1.51E+06	1.49E+06	1.50E+06	1.40E+06	1.41E+06	1.42E+06	1.37E+06	1.18E+06	1.36E+06	1.60E+06
Slc25a40	9941.72	9301.88	12521.7	9985.36	23193.4	19623.5	15780.7	12640.8	19495.2	15844.6	19963.2	20873.1
Slc25a45	8050.02			4103.6		6695.1	1841.15		5895.34	6339.01	7517	10163.2
Slc25a46	10319.6	6467.36	7474.92	6396.03	13506.7	8244.93	6013.11	10051.4	10414.2	11646.2	11697.1	16849.1
Slc25a4;Slc25a5	3.32E+06	2.74E+06	3.12E+06	2.87E+06	2.47E+06	2.62E+06	2.53E+06	2.34E+06	3.46E+06	2.73E+06	3.65E+06	3.38E+06
Slc25a5	2.72E+06	2.18E+06	2.40E+06	2.28E+06	1.82E+06	1.88E+06	1.80E+06	1.79E+06	2.31E+06	1.98E+06	2.51E+06	2.97E+06
Slc25a51	13864.5	10980.9	10632.2	10664.8	11169.1	13678.4	11022	11217.9	14764.7	15102.4	18770.4	13719.2
Slc26a2											2293.11	
Slc27a4	35295.3	29196.4	27726	27349.3	19696.3	23311.7	25664.4	24086.6	20126.7	24707.7	25812.7	34478.2
Slc29a1	22609.3	17514.4	17197.2	19443.4	21896	20136.5	15420.1	11762	28671	29530.6	33315.7	29525.9
Slc2a1	113172	90112.9	80966.8	72709.5	109812	117769	121059	106532	26872.7	47248	51227.6	64076.7
Slc2a3	6646.06	22271.9	16619.2	12309.2	28104	30178.8	25905.5	24839.1	13470.7	12803.5	11486.1	17373
Slc2a5	17198.6	9976.93	9151.82	5932.22	14028.4	5696.08	11780.2	15923.4	4943.78	5869.87	6314.52	10779.9
Slc2a6	13821.2	12802.9	13391.1	11949.5	13797.9	16488.2	15450	13221.4	13231	15078.8	15872.7	18268.2
Slc30a1	16730.4	13938.6	14968.7	11670.2	6532.77	23229.4	16190.6		25129.6	16467	18677.1	18902.5
Slc30a5	2765.42		3508.14	6780.61	3917.72	9100.27	1691.25		15446	10148.1	18128.4	7669.48
Slc30a6	14472.3	4733.27	7455.23	9161.33	10435.1	10936.8	7261.48	14785.5	8702.63	8140.35	10421.4	10051.8
Slc30a7	10461.3	6334.95	8807.76		6747.99	5518.27	3359.88	7092.27	5491	7382.29	5949.9	5941.43
Slc31a1	25451.5	21206	15303.1	16984.8	24073.1	21571.5	16279.8	11568	5294.23	8869.6	8256.24	9854.12
Slc33a1	15453	14370.3	12059.8	14000.3	21874.1	20942.8	9637.74	12911.7	20048.9	18531.8	18985.7	20175.2
Slc35a4	42555.7	42315.3	41191.5	42002.6	65527.8	59641.5	58805.4	50981.1	38262.4	34616	46879.6	53435.4
Slc35b1	8088.22	7116.8	7236.79	7829.99	12831.2	4887.45	6232.6	2707.57	12525.9	9038.09	10860.1	9061.79
Slc35b2	60071.7	41623.3	46990	40917.6	36143.1	29776.8	20741.5	26698.4	32707.6	38515.2	37106.7	30987.6
Slc35d1	18538.8	14604.2	18888.2	16061.8	8447.61	20037.7	18902.4	7799.3	16535	19733.8	22567	24429.3
Slc35e1	24387	19684.5	16051.1	14781	12036.8	12388.6	11944.8	9253.85	12840.8	12093.4	14161.2	15801.2
Slc35f6	12595.2	9618.55	8034.83	10575.6	12906.8	14056.8	5219.79	6903.4	10195	10828.7	11051.9	12247.8
Slc36a1	691.814		973.624	1567.72	3142.78	366.298				851.609	478.718	
Slc37a2	9181.28	3147.03	4829.6	6508.28	19766.7	18035.4	19773.8	12602.1	4168.78	1409.62	6661.16	3037.38
Slc38a1	36977.1	23132.5	33905.6	32457.5	21595.1	34590.1	26588.3	33380	21388.4	21737.9	26217.9	19035.3
Slc38a10	10933.8	14070.7	9003.02	10556.6	15046.3	18420.6	13725	10262.5	4222.1	5414.96	5666.22	10135.1
Slc38a2	7871.71	8111.41	6059.32	7209.04	18093.4	14399.1	15701.5	9631.93	3843.76	3129.59	4217.82	5274.02
Slc38a7	13249.3	11070.6	11148.2	9870.62	12147.3	13552.9	15527.2	12595.2	4709.7	9392.6	7972.98	11326.5
Slc38a9											1704.89	
Slc39a10	63402	66024.1	60215.9	63164.2	64401.4	54947	40473.9	50248.1	60699.4	61745.9	67062	72654.2
Slc39a11	2426.73	2745.58	2865.89	1292.04	801.353	1801.46	659.087	1050.61	2279.66	3841.72	4094.6	3682.97
Slc39a6	18177.3	15920.3	10040.6	12166.9	3971.81	16491.1	14861.6	15975.9	14949.4	14006.2	18207.4	18929.6
Slc39a7	46575	35777.9	38960.8	34193.1	30939.5	31127.5	29262.1	25517	39447.6	38379.2	39401.7	49439.3
Slc39a8	164383	121940	184733	133402	111883	100437	86309.1	98508.7	67208.6	85559.6	91622.9	68707.6
Slc3a2	517448	488294	494209	420966	521149	569054	479755	415486	233659	246463	266838	283324
Slc44a1	16372.7	10053.9	9931.27	9150.73	6177.17	11212.1	13348.8	12263.2	2296.05	6991.64	7313.05	9992.14
Slc45a2	91087.3	69442.1	71471.5	60390.1	146784	139023	114912	90211.6				
Slc4a10	10664.7	8418.02	7500.19	6186.69	4732.33	6893.03	11678.2	8974.48	2013.3		3711.97	7711.64
Slc4a10;Slc4a8	15686.6	18866.1	6105.07	16062.2	21689.7	23204.7	15840	15535.3	12883.5	12558.5	16697.7	10209.8
Slc4a1ap	68361.9	71029.4	68514.1	79382.7	53310.9	62508.6	62314.7	65455.9	48010.5	52176.9	49896.2	59535.8
Slc4a2	34862.4	37029.4	29061.5	29996.5	48851.2	45375.1	38647.2	31838.3	27492.4	26324.6	34705.5	28680.2
Slc4a7	32530.7	31996.8	26682	24880.7	28796.4	31269.8	31560.6	26752.4	15257.5	20193.7	12806.8	24164.4
Slc4a8	28071.1	19696.4	18573.6	11069.4	19821.5	19280.8	17571.4	21141.2	12573.6	6777.27	10266.2	12035.2
Slc50a1	13697.8	8501.17	8982.81	11723.2	16854.3	20246.8	13615	11791.2	11793.1	11731.5	14261.6	13823.9
Slc6a11	13153.9	14695.9	14610.1	13026.1	13296.9	7412.53	14088.1	17745.4	12753.5	14885.8		15858.5
Slc6a17	20517.3	21691.2	30533.1		35278	15877.2	19253					
Slc6a18								11197				
Slc6a6	153872	137602	139863	136289	203192	181252	120313	122935	103860	119964	125188	126673
Slc6a8	3948.27	4009.26	3884.47	4629.11					3545	4638.49	6114.88	8585.96
Slc6a9	5882.31	2167.32	4444.47			2444.11	2023.06	3812.44	6650.01	7970.23	7178.03	7421.32
Slc7a1	290505	193356	205945	186220	265960	252559	211136	220895	73863.7	96114.6	115786	120085
Slc7a11	54435.2	52554.5	45317.1	41992.3	26990.4	32210.2	27947.1	23166.6	11179.9	13272.6	16406.5	16454.2
Slc7a5	184604	179404	172620	145001	196110	189035	137790	104553	58740.3	80255.5	91265.7	92456.5
Slc7a5;Slc7a6	37865.1	36795.8	27379.3	21771.3	25880.1	31974	31805.4	14250.4	13406.2	22849.3	16027.1	20071.9
Slc7a6	24575.3	17725.2	15254.4	17056.6	18155.3	22513.2	15690.7	14856.3	8972.41	13575.6	10425.7	13584.7
Slc7a6os	29275	32399	31460.2	31639.4	27736.3	35086.4	31255.4	36798.3	23577	28453.5	26363.5	34535.3
Slc9a8	28551.3	27386.5	22162.9	17043.8	25552.2	26646.1	29243.1	30428.5	15220.1	16348.8	21024.9	23578.3
Slfn9	28210.5	24535	25023.9	25685.8	22582.6	23723.7	17252.1	22464.4	25198.1	23181.2	26595.4	23134.7
Slirp	90576.5	104413	110458	98682.1	92694.1	123543	120855	125277	100394	104338	105235	97963.9
Slk	83160.1	88047.1	90654.7	91733.7	68465.2	77955.2	69425	69195.6	51774.4	54713.6	51318.1	58370.8
Slk;Stk10	15260.9	11756.2	16676.1	15173.4	12230.2	13174.4	10125.8	11318.5	9070.7	11333.1	12195.4	10941.7
Slmap	29297	31468.7	30886.8	33607.4	28560.3	35224.2	30244.7	30395.2	24497.9	29710.2	28467.9	33009
Sltm	177184	191194	179789	196016	194351	230293	231576	232266	208929	205783	197449	220212
Slu7	38110.4	42402.1	38523.7	39702.5	33290.4	40043.7	42257.6	39021.6	38275.8	39267.6	35073.2	42410.2
Slx9	30570.3	39187.3	42694.1	39155.7	26887.7	29039.3	27418.3	29094.9	41454.2	38874.7	37127.7	27498.1
Smad1	13194.5	16677	14397.5	13018.5	12911.9	10075.3		8330.87	8451.24	11945.2	9795.1	15549.1
Smad2	38328.3	42735.3	40054.6	46092.4	46990.7	43129.8	33899.2	38380.5	45536.4	37229.3	42077.5	47066.6
Smad2;Smad5	78909	66025.9	75694.4	72090.3	52907	65775.7	60030.2	83460.4	61647.4	66259.9	66141	62631.6
Smad4	56072.9	53678.6	55492.1	59029.9	32587.6	37842.2	34283.9	39831.3	60706.9	59452.8	62112.7	52555.3
Smad5	27709.1	30576.3	20692.8	24150.2	24721.2	21809.2	25623.2	28335.8	17220.8	18100.9	15624.2	20122.6
Smap	122177	142976	158608	158687	110905	131315	135336	124209	135120	144247	128309	131434
Smap1	119567	112735	131257	130665	102985	139028	106594	107706	123982	128677	120169	135159
Smap1;Smap2	60864.3	39185.8	69124.1	73528.1	67767.3	64023.5	55682.8	54781.4	75583.1	70281.4	61126.8	55908.2
Smap2	31052.3	32621.4	24583.4	27799	21014.5	27736.4	31257.8	27190	13096.4	20918.5	20808	30157.9
Smarca2	9633.49	15025.3	15821.8	11828.2	7826.14	11428.4	8710.94	9707.14	7375.99	11587.3		11864.6
Smarca2;Smarca4	64798.4	59357.8	60858.9	62267.6	43719.2	38061.4	40121.6	31787.4	42391.5	46309.8	45872.9	50314.4
Smarca4	601611	586328	536997	562369	384567	366150	361372	338524	339051	389631	413992	474453
Smarca5	129809	122331	121099	128221	96454.8	99730.4	98552.5	92257.2	100802	108501	114380	117239
Smarcad1	34872.1	34389.4	37299.8	39600.3	33916.2	32958.7	31570.3	32131.6	28442.7	29951.2	31585.3	28857.1
Smarcal1	13542.6	10899.7	13271.9	11181.3	12567.1	9699.72	11199	9211.72	11123.5	15533.1	13196.7	13378
Smarcb1	58152.1	64298.2	67954.5	65465.9	42376.7	43497	42972.5	48405.2	40649.6	43944.4	37579.4	42468.7
Smarcc1	141345	137382	144970	143210	93337.3	101097	108478	108551	93758.6	92847.4	93380	97885.4
Smarcc1;Smarcc2	178870	158724	171195	172082	122089	127772	135954	132804	132891	123143	132801	120286
Smarcc2	46913.9	51062.7	50586.2	49898.6	31358.1	38937.1	42534.4	43575.8	43571.9	39426.3	37853.9	41013.2
Smarcd1	32662.8	28348.8	32146	35389.9	26481.4	24247.4	17689.7	19142.4	11331.2	19743.2	18602.8	20463.9
Smarcd1;Smarcd3	34952.6	37147	39707.1	41428.7	26261.8	21445.7	18048.8	20894.2	34453.3	32766	37965.7	34695
Smarcd2	78252.8	70250	64816.5	74827.1	52723.6	50674.2	54830.4	55355.5	65861.7	70982.4	70649.2	72291.2
Smarcd3	6898.73	5914.04	3341.27	6256.74			3000.22		12426.3	8499.52	10889.4	12230.9
Smarce1	117236	127827	138839	137307	91367.5	102342	87321.9	96002.4	91994.6	89242.8	79086.2	81920.1
Smc1a	130660	138981	136489	142908	114413	121525	118840	118936	100645	102296	101434	105338
Smc2	112719	112920	118385	121207	95787.8	100224	93023.8	96530.3	63613.4	67749.6	66126	74230
Smc3	121420	132788	135246	137522	106887	109529	102145	105385	92684.4	95199.7	92982.5	101119
Smc4	89089.7	90545.4	86889.3	89993.3	81596	90266.2	85585.7	86363.5	44800	45098.1	43619.5	48390
Smc5	22020.3	29192.7	35866.8	36157.1	18299.5	17717.4	19381.8	15364	30000.1	40661.5	32743	28388.7
Smchd1	160757	155156	161074	171415	125521	129926	121557	120243	104618	107925	115363	123550
Smcr8	20328.5	18038.5	18062.5	14690	19390.8	16630.4	13392.5	19317.4	13784.8	17769	17647	19820.7
Smdt1	6686.04	2233.58	3718.67	5610.33	6337.38	3883.23	3458.15	6137.37	6536.27	9009.2	8596.72	6519.32
Smg1	11253.5	12211.8	9695.86	9101.43	8459.17	9907.08	10519.6	9534.47	8402.97	12063.4	12145	11812.8
Smg5	23391.9	20701	21498.5	20171.2	17441.1	19989.4	21975.8	20526.4	14460.7	23225.1	18318.6	21178.7
Smg6	21038.6	17279.2	20722.5	18743	14865.9	13824.3	11572.4	10428.9	16124.1	16354.9	17163.1	17713.5
Smg7	22883.8	18861.7	17874	17688	19585.6		23607.7	16542.1	13194.5	17180.6	12800.9	16258
Smg8	29343.6	27689.5	20449.9	27502.1	21016.1	16351.2	21445.6	21687.7	31337.9	23889.6	24906.2	31603.9
Smg9	53102.8	50833.9	48455.4	44355.5	27862.9	32300.6	34923.2	29841.9	31755.3	41753.6	39024.1	52752.3
Smim12	23709	22482.7	22280	21278.3	17905.5	32263.7	25658.4	22917.2	34103.1	41919.4	48058.9	49284.2
Smim20	41171.6	44633.3	35684.1	38531	47834.9	48713.9	58623.9	60844.6	46031.8	43441.3	32398.5	53911.7
Smim26	14578.3	12365.8	12071.8	11242.5	11163	13137.1	17641.2	13911	9690.02	13197.9	10485.8	14462.8
Smim29						955.937				1722.92	3886.85	3445.96
Smim8	19073	13516.6	19251	23968	23204.6	24458.8	17458.5	20242.8	22732.7	25848.7	22616.6	26421.7
Smn1	93021.9	79281.2	56503.6	63954.1	62479.5	68146.5	111275	94082.6	70230.2	26553.8	88201.9	95034.8
Smndc1	71886.4	70876	86605.3	76235.4	73126	75299.9	63217	63654.9	63974	77952.4	75987.4	66713.9
Smpd1	23022.5	26658.7	27706.5	29374	30278.2	35025.4	27101.4	24184.9	33622	36660.3	38564.5	39235.7
Smpd2	20951.5	16755.4	17823.7	17489.8	11604.3	9925.22	15754.8	12569.2	13756.6	17090	18488.6	19161.6
Smpd4	39202.8	31284	30218.6	30978.8	34939.3	32671.9	31024.6	26388.7	19209.3	21230.4	29385.1	30172.4
Smpdl3a	30340.2	40134.9	45818.3	47486.5	54582.9	53634.9	55472.7	44921.9	33017.6	30033.6	37991.6	30909.8
Sms	16112.2	11783.7	15832	17004.7	15582.5	15058	12477	12332.5	5323.29	16391.9	17918.8	14615.1
Smtn	20949.9	31639.7	23301.7	20085.8	35128.2	33051.9	37008.7	37273.1	64714.1	66835.5	68014.7	64632.2
Smu1	318139	289468	318044	314917	269606	255311	244736	254771	311801	297204	282368	254128
Smug1	16379.2	11163.5	16880.3	16562.8	16025.8	16544.3	10176.5	9350.04	17171.2	22547.3	20497.6	18147.5
Smurf1	216925	216231	237772	273052	290199	233504	174433	188316	239685	273285	262656	253511
Smurf2	27933.4	25878.4	29508.9	33362.1	40554	30618.3	25897.1	18793.5	35036.6	27862	31747.9	26138.7
Smyd2	22764.2	20746.9	25553.1	24508	18366.2	17942	10264	15487.4	24400.3	21190.6	21389.6	19448.1
Smyd3	27736.1	27771.8	21281.3	26339.4	17134.4	16032.6	20281.2	21410.1	17605.4	17932.5	17537.8	13341.9
Smyd4	3644.58	4566.31	5760.65	4309.39	3835.35	7472.96	5228.06	6699.83	1531.79	2673.13	2495.65	3892.03
Smyd5	49330.5	43841.7	51852.2	48977.4	61054.4	62498.5	47916.1	53588.5	64550.3	80892.3	79424.6	57926.8
Snap23	109476	96602.6	91341.6	89787.3	114081	126734	120739	114459	57339.9	58851	67122.1	81354.5
Snap29	94027.4	103864	108228	102868	116005	137863	109585	126961	66856.2	68563.7	64994	71118
Snap47	53585.7	58387.5	61655.7	63071.3	97124.3	94198.6	72550.6	76729.8	103203	99600	90737.4	98393.2
Snapc3	3247.3	7020.8	4935.09	3550.93	1545.96	3013.43	3117.89	2255.97	908.961	1321.38	2170.28	1612.51
Snapin	42914.5	52916.7	47971.9	47888.4	61391.1	65651.2	69924.3	76002.7	63108.4	65162.1	64977	66001.1
Snca	91675.5	107190	105868	94051	349193	424618	381659	412554	21495.5	27008.2	27703.9	32087.8
Snd1	743546	693269	767183	828685	972325	968065	889388	876047	845526	795760	827396	784730
Snf8	54327.1	55057.7	60774.2	59986.4	57985	62130.2	53471.9	55549.4	57768.9	63447.8	57313.6	63300.5
Snip1	34287.9	34854.8	34542.3	33421.7	21695	33088.2	29259.3	34248.1	34507.7	30796.1	36622.8	32417.9
Snrnp200	164651	153039	163314	165531	121681	126804	107897	104037	116469	127308	132277	131594
Snrnp27	72273	79897.4	80182	75303.9	59135.7	71065.6	75769.3	82999.4	61016.5	65812.4	65211.1	72200.3
Snrnp40	97802.4	91728.8	108076	104963	93557.8	92565.3	85298.4	90430.6	83865.8	88449.1	86915.6	87054.3
Snrnp70	339362	357670	400813	413012	319552	381053	282234	289258	360225	382614	366507	344903
Snrpa	99344.3	106652	112042	116968	91838.3	107090	91215.8	85628.8	108792	109060	102943	97763.9
Snrpa1	256970	276872	267672	270126	238444	257696	254078	247600	250184	232352	206707	236981
Snrpb	608271	547880	621874	598595	396516	442687	385559	420136	459635	519792	516514	430256
Snrpb2	82265.8	85492.9	103538	101250	95807.9	96128.2	72796.7	67420.8	117898	101647	102539	88522.6
Snrpc	72237.8	59721.2	79683	74472.1	53446.9	56430.5	61430	50571.7	67317.7	77236.1	70606.8	60741.9
Snrpd1	545100	567991	610506	626353	583585	591602	444644	485626	644944	637703	587516	553569
Snrpd2	426758	485686	507929	448714	406462	412607	427683	438256	485428	405265	423205	398330
Snrpd3	814054	746976	833743	876030	566816	678279	685899	649633	555076	605861	623075	587183
Snrpe	304804	279069	321563	379514	274258	294444	268914	291635	419044	346659	347615	291545
Snrpf	392950	402059	389137	375055	282707	309029	334643	363450	294695	294748	289120	327516
Snrpg	837236	1.06E+06	1.09E+06	987900	808737	937357	925416	1.04E+06	842127	950033	870221	910589
Snta1	19476.1	23938.8	19340	21555.5	21655.6	26396.9	21374.9	31697.9	23139.7	19697.7	15580.6	16345.6
Sntb1	76987	84582	83844.4	86178.8	63782.1	67499.7	72061.5	74850.1	86732.8	91076.8	91050.6	100219
Sntb1;Sntb2	12696.5	12596.7	10938.6	11259.2	11111.5	10304.6	14010.8	11900.2	12247.5	12832.2	9600.14	14776.9
Sntb2	74720.1	72756.1	61805.8	72123.9	92111.8	87751.9	90324.5	77531.2	63482.2	65546.6	61724.9	67341.2
Snu13	458929	411554	502640	476452	337461	396509	330285	391362	413349	441971	403786	420020
Snupn	17160.4	19629	18236.6	19625	18930.3	17721.8		12259.8	19758.1	20613.5	19490.7	16862.5
Snw1	450000	498990	480376	460343	340276	450391	461865	440305	305830	354561	326584	403871
Snx1	194943	212110	228045	212718	294690	326154	284534	296580	202000	202751	195082	196756
