Genes	N5CA1	N5CA2	N5CA3	N5CA4	V1	V2	V3	V4	N5FL1	N5FL2	N5FL3	N5FL4
Cryl1	20013.6	21541.4	19860.4	20606.2	27899.6	28549.1	31748.7	29891.4	32179.9	33425.1	30040.6	35598.7
Cryz	219749	252331	261888	250688	187284	196578	210138	210232	208634	225477	203465	237391
Cryzl1	71354.4	74512.6	73354.9	79244.1	67019.5	76783	84932.2	82121.5	57665.4	60005.8	55180	64508
Cs	1.03E+06	965441	1.03E+06	1.01E+06	898874	1.04E+06	1.07E+06	965764	1.28E+06	1.23E+06	1.34E+06	1.20E+06
Csad	104339	112679	107623	128458	191366	217663	207910	228388	183410	196659	202222	197378
Csde1	218858	231585	243828	236885	197714	225171	206573	210491	227765	234930	229172	239947
Cse1l	288828	254473	282345	298310	307921	247008	231757	235568	279192	258199	262034	242522
Csf1	4639.99	3671.09	5302.48	7178.65		2362.24	6192.76	3867.96	7236.99	8582.36	5751.33	9072.06
Csk	421363	401551	438154	470772	417831	400363	370478	371285	461632	441530	462465	440610
Csnk1a1	199756	197109	202079	184257	190893	190536	167061	171039	163805	181964	183774	194088
Csnk1d	46177.7	54290.4	45780.6	42468.5	34623.3	37120.3	32695.8	34526.6	24452.7	36034.6	36783.6	36433.7
Csnk1d;Csnk1e	36732.4	37007.6	42633.4	38425	35104.4	40487.4	33745.3	31873.3	36537.8	34541.7	33183.5	35418.9
Csnk1e	21339.6	21411.8	20370	17341.5	21274.9	24674.9	16846.2	17386.1	10016.5	12343.9	12426.7	11660.6
Csnk1g1	13069.4	23716.2	17783.3	19058.6	20762.6	28555.5	30741.4	27872.4	24486.7	13890.4	22299.5	22576.7
Csnk1g1;Csnk1g3	16112.5	19694	17897.5	16926.9	19169	23461	23675.3	25521.7	11695.2	8119.74	10211.5	11172.7
Csnk1g3	13523	14003.3	18378.1	13677.1	10889.6	11679.4	11817	8471.85	19744.5	12851.5	16635.6	12743.5
Csnk2a1	128036	135828	139531	137336	140983	148081	138981	140009	147829	137598	130627	136732
Csnk2a1;Csnk2a2	13138.3	11219.9	12020.8	12610.4	22366.8	13921.7	10604	10420.7	10242.1	16262.3	15880.1	16173.8
Csnk2a2	129433	123988	127593	124656	110547	113368	99823.9	97367.5	118166	129177	124988	136544
Csnk2b	151778	179473	172891	173712	130832	164345	160960	150720	179380	182685	171283	154661
Csrp1	756154	787516	893695	851044	728834	767517	534809	495924	551962	494664	530063	409365
Csrp2	18710.4	24280.7	22967.7	24230.6	33410.5	25640.2	20384.3	20891.2	19930.2	22883.5	19702.3	20733.5
Cst3	76815.1	87385.4	87818.5	81074	68210.9	84624.1	81403.1	84778.3	79962	79281.9	72515.7	88706.6
Cst6	6348.26	3804.72	5413.19	3123.31	7336.32	9605.89	8280.23	9702.44	3624.29	3056.55	4441.81	3717.48
Cstb	423796	441745	571793	611682	511116	414776	197466	264682	511734	576138	496620	442828
Cstf1	71711.6	72527.6	75022.7	75006.8	57694.2	69084.8	71139	67978.7	61645.6	67208.8	62310.5	70115.1
Cstf2	143322	150947	148115	149953	136499	159243	170645	186408	140098	151226	140866	151596
Cstf2t	111908	121314	111632	116758	64943.3	92495.8	80591.3	87327.6	79323	100351	93093	109211
Cstf3	62587.9	48997.1	49027	50588.9	41710.8	39651.8	44614.4	43161.2	60472.1	58506.9	63200.3	70510.8
Ctbp1	113553	103541	113803	103304	74833.5	72785.9	70923.7	71741.9	108466	98923.8	105341	102795
Ctbp2	232679	239342	243140	212763	194929	187391	200148	199911	225116	208050	199226	200149
Ctbs	21265	20663.9	10517.2	23579.4	7861.86	8098.86	3448.92	9171.58	22000.7	25571.8	28260.5	23990.4
Ctc1	50493	44145.3	42163.2	42408.4	36595	39364.3	42295.8	41912.8	36316.1	44508.2	41747.5	45999.2
Ctcf	203587	192594	240087	253539	127607	183324	167849	166672	130518	150063	169599	157105
Ctdnep1	17765.9	16699.8	16383.1	15067.5	16977.7	14594.6	11534.1	10979.7	13022.7	13801.6	14364.4	16329.3
Ctdp1	57543.2	60107.9	64320.3	59871.4	48883.4	57098.6	43127.1	46293.4	55274.3	59399.3	50195.2	57646
Ctdsp1	12091.8	10080.5	9257.43	10685.9	5168.92	9994.83	15095.6	9210.71	2953.92	4958.36	5692.49	8778.31
Ctdspl2	22157.8	22204	28662.4	28710.6	21241.7	23382.2	18762.6	18574.9	13797.7	12721.6	16299	13910.8
Cth	47247.9	47817.1	43857.1	63376	81325.3	86321.7	68974.1	70379.3	99145	112683	98928.8	108317
Ctnna1	71756.4	70097.9	72161.2	66928.5	60624	57733.6	56446.8	55555	49576	49573.2	45137.5	56309.5
Ctnna2	33848.2	33225.6	39778.3	32353.1	29491.9	29661.3	26410.5	23053.6	29786.6	19290.1	16705.6	29386.3
